Zeit;Fahrradbruecke;Fahrradbruecke stadteinwaerts;Fahrradbruecke stadtauswaerts;Symbol Wetter;Temperatur (°C);Gef�hlte Temperatur (°C);Regen (mm)
15.08.2018 19:00;616;310;306;Leicht bewoelkt;21;21;0
15.08.2018 20:00;462;215;247;Leicht bewoelkt;20;20;0
15.08.2018 21:00;343;144;199;Leicht bewoelkt;18;18;0
15.08.2018 22:00;310;98;212;Leicht bewoelkt;18;18;0
15.08.2018 23:00;172;52;120;Leicht bewoelkt;17;17;0
16.08.2018 00:00;103;29;74;Leicht bewoelkt;16;16;0
16.08.2018 01:00;47;10;37;Leicht bewoelkt;16;16;0
16.08.2018 02:00;16;10;6;Leicht bewoelkt;16;16;0
16.08.2018 03:00;13;4;9;Leicht bewoelkt;16;16;0
16.08.2018 04:00;13;4;9;Leicht bewoelkt;16;16;0
16.08.2018 05:00;47;27;20;Leicht bewoelkt;17;17;0
16.08.2018 06:00;143;94;49;Leicht bewoelkt;17;17;0
16.08.2018 07:00;315;171;144;Leicht bewoelkt;19;19;0
16.08.2018 08:00;464;278;186;Leicht bewoelkt;21;21;0
16.08.2018 09:00;416;250;166;Leicht bewoelkt;23;23;0
16.08.2018 10:00;498;268;230;Leicht bewoelkt;24;25;0
16.08.2018 11:00;501;238;263;Leicht bewoelkt;25;26;0
16.08.2018 12:00;519;252;267;Leicht bewoelkt;27;27;0
16.08.2018 13:00;545;259;286;Leicht bewoelkt;27;27;0
16.08.2018 14:00;551;271;280;Leicht bewoelkt;27;28;0
16.08.2018 15:00;614;251;363;Leicht bewoelkt;27;28;0
16.08.2018 16:00;678;336;342;Leicht bewoelkt;26;27;0
16.08.2018 17:00;835;391;444;Leicht bewoelkt;25;26;0
16.08.2018 18:00;819;317;502;Leicht bewoelkt;24;26;0
16.08.2018 19:00;669;262;407;Leicht bewoelkt;22;24;0
16.08.2018 20:00;484;195;289;Leicht bewoelkt;21;21;0
16.08.2018 21:00;339;151;188;Leicht bewoelkt;20;20;0
16.08.2018 22:00;321;150;171;Leicht bewoelkt;19;19;0
16.08.2018 23:00;236;148;88;Leicht bewoelkt;19;19;0
17.08.2018 00:00;159;97;62;Leicht bewoelkt;19;19;0
17.08.2018 01:00;74;35;39;Leicht bewoelkt;18;18;0
17.08.2018 02:00;37;18;19;Sonnig;18;18;0
17.08.2018 03:00;10;4;6;Sonnig;18;18;0
17.08.2018 04:00;9;8;1;Sonnig;18;18;0
17.08.2018 05:00;41;19;22;Leicht bewoelkt;18;18;0
17.08.2018 06:00;114;74;40;Leicht bewoelkt;19;19;0
17.08.2018 07:00;298;151;147;Leicht bewoelkt;20;20;0
17.08.2018 08:00;398;224;174;Leicht bewoelkt;21;21;0
17.08.2018 09:00;511;318;193;Leicht bewoelkt;22;23;0
17.08.2018 10:00;502;262;240;Leicht bewoelkt;24;25;0
17.08.2018 11:00;572;286;286;Leicht bewoelkt;25;26;0
17.08.2018 12:00;581;255;326;Leicht bewoelkt;27;28;0
17.08.2018 13:00;561;257;304;Leicht bewoelkt;27;28;0
17.08.2018 14:00;559;263;296;Leicht bewoelkt;28;29;0
17.08.2018 15:00;555;246;309;Leicht bewoelkt;28;29;0
17.08.2018 16:00;664;327;337;Leicht bewoelkt;28;29;0
17.08.2018 17:00;629;244;385;Leicht bewoelkt;27;30;0
17.08.2018 18:00;365;178;187;Leicht bewoelkt;27;30;0
17.08.2018 19:00;252;123;129;Leicht bewoelkt;26;29;0
17.08.2018 20:00;203;94;109;Leichter Regenschauer;25;28;0
17.08.2018 21:00;156;64;92;Leichter Regenschauer;23;27;0
17.08.2018 22:00;133;52;81;Leichter Regenschauer;22;22;0
17.08.2018 23:00;126;34;92;Stellenweiser Regenfall;20;20;0
18.08.2018 00:00;72;22;50;Stellenweiser Regenfall;19;19;0
18.08.2018 01:00;43;17;26;Stellenweiser Regenfall;18;18;0
18.08.2018 02:00;32;13;19;Leicht bewoelkt;17;17;0
18.08.2018 03:00;29;13;16;Leicht bewoelkt;16;16;0
18.08.2018 04:00;15;7;8;Leicht bewoelkt;16;16;0
18.08.2018 05:00;21;11;10;Leicht bewoelkt;17;17;0
18.08.2018 06:00;36;22;14;Leicht bewoelkt;17;17;0
18.08.2018 07:00;56;36;20;Leicht bewoelkt;18;18;0
18.08.2018 08:00;132;65;67;Leicht bewoelkt;20;20;0
18.08.2018 09:00;286;176;110;Leicht bewoelkt;21;21;0
18.08.2018 10:00;424;220;204;Leicht bewoelkt;22;24;0
18.08.2018 11:00;473;261;212;Leicht bewoelkt;24;25;0
18.08.2018 12:00;495;231;264;Leicht bewoelkt;25;26;0
18.08.2018 13:00;544;249;295;Leicht bewoelkt;25;26;0
18.08.2018 14:00;558;246;312;Leicht bewoelkt;25;26;0
18.08.2018 15:00;497;238;259;Leicht bewoelkt;25;26;0
18.08.2018 16:00;532;224;308;Leicht bewoelkt;24;25;0
18.08.2018 17:00;499;226;273;Stellenweiser Regenfall;23;24;0
18.08.2018 18:00;497;218;279;Stellenweiser Regenfall;22;22;0
18.08.2018 19:00;443;204;239;Stellenweiser Regenfall;21;21;0
18.08.2018 20:00;365;150;215;Leicht bewoelkt;20;20;0
18.08.2018 21:00;245;124;121;Leicht bewoelkt;19;19;0
18.08.2018 22:00;176;82;94;Leicht bewoelkt;18;18;0
18.08.2018 23:00;186;54;132;Stellenweiser Regenfall;17;17;0
19.08.2018 00:00;143;51;92;Stellenweiser Regenfall;17;17;0
19.08.2018 01:00;111;37;74;Stellenweiser Regenfall;16;16;0
19.08.2018 02:00;50;17;33;Leicht bewoelkt;16;16;0
19.08.2018 03:00;28;10;18;Leicht bewoelkt;16;16;0
19.08.2018 04:00;21;11;10;Leicht bewoelkt;16;16;0
19.08.2018 05:00;26;11;15;Leicht bewoelkt;17;17;0
19.08.2018 06:00;26;16;10;Leicht bewoelkt;17;17;0
19.08.2018 07:00;35;15;20;Leicht bewoelkt;19;19;0
19.08.2018 08:00;121;60;61;Leicht bewoelkt;20;20;0
19.08.2018 09:00;244;125;119;Leicht bewoelkt;22;22;0
19.08.2018 10:00;315;163;152;Leicht bewoelkt;23;24;0
19.08.2018 11:00;422;205;217;Leicht bewoelkt;24;26;0
19.08.2018 12:00;387;167;220;Leicht bewoelkt;26;27;0
19.08.2018 13:00;358;157;201;Leicht bewoelkt;26;27;0
19.08.2018 14:00;457;195;262;Leicht bewoelkt;26;28;0
19.08.2018 15:00;427;192;235;Leicht bewoelkt;27;28;0
19.08.2018 16:00;450;230;220;Leicht bewoelkt;26;27;0
19.08.2018 17:00;459;255;204;Leicht bewoelkt;25;26;0
19.08.2018 18:00;498;236;262;Leicht bewoelkt;24;26;0
19.08.2018 19:00;410;224;186;Leicht bewoelkt;22;24;0
19.08.2018 20:00;326;149;177;Stellenweiser Regenfall;21;21;0
19.08.2018 21:00;225;88;137;Stellenweiser Regenfall;20;20;0
19.08.2018 22:00;145;52;93;Stellenweiser Regenfall;19;19;0
