lon;lat;count
9.2154942;47.712902;5
9.2153177;47.71278;4
9.2156696;47.713028;4
9.219842;47.715576;4
9.2196665;47.71545;4
9.2194901;47.715328;4
9.2193146;47.715202;4
9.2185459;47.714859;4
9.2187881;47.714832;2
9.2183704;47.714737;4
9.2191391;47.71508;5
9.2187214;47.714985;1
9.2189636;47.714954;4
9.218195;47.714611;5
9.2177773;47.714516;1
9.2180185;47.714489;4
9.2133198;47.711567;3
9.2131443;47.711445;5
9.2134953;47.711693;5
9.2129688;47.711319;4
9.2127934;47.711193;5
9.2120905;47.710697;4
9.211915;47.710575;4
9.212266;47.710823;4
9.2117395;47.710449;4
9.2115641;47.710327;3
9.2138472;47.711941;5
9.2136707;47.711815;3
9.2145491;47.712437;3
9.2147913;47.712406;3
9.2143736;47.712311;3
9.2146158;47.712284;1
9.2151423;47.712654;4
9.2149668;47.712532;4
9.2142639;47.712032;1
9.2141981;47.712189;2
9.2144403;47.712158;1
9.2140226;47.712063;4
9.2126169;47.711071;4
9.2124414;47.710945;5
9.2079544;47.702751;6
9.2076454;47.702934;4
9.2078876;47.702904;4
9.208087;47.702442;4
9.2083292;47.702412;5
9.2080202;47.702595;4
9.2082624;47.702568;1
9.2075796;47.703087;6
9.2072716;47.703274;4
9.2075129;47.703243;4
9.2072086;47.70182;1
9.2088366;47.701767;5
9.2089024;47.701614;4
9.2087698;47.70192;6
9.2084618;47.702106;4
9.208703;47.702076;4
9.208395;47.702259;6
9.2070723;47.703735;4
9.2072048;47.703426;6
9.207139;47.703579;6
9.2066975;47.704071;2
9.20683;47.703762;5
9.206522;47.703949;2
9.2067642;47.703918;5
9.2079849;47.707996;4
9.2078094;47.70787;4
9.2070408;47.707527;2
9.2068653;47.707405;3
9.2074585;47.707623;4
9.207283;47.7075;2
9.207634;47.707748;5
9.2072163;47.707653;1
9.2083359;47.708244;4
9.2081604;47.708118;5
9.2060966;47.707062;2
9.2059212;47.706936;3
9.2065144;47.707157;4
9.2063379;47.707031;4
9.2066898;47.707279;5
9.2055693;47.706688;4
9.2053938;47.706566;1
9.2057447;47.706814;5
9.205328;47.706718;2
9.2061625;47.706909;1
9.205987;47.706783;1
9.2071075;47.707375;1
9.2069311;47.707249;1
9.2092142;47.708866;5
9.2090387;47.70874;4
9.2086878;47.708492;4
9.2085123;47.708366;5
9.2088633;47.708618;4
9.2107944;47.709984;4
9.210619;47.709858;4
9.2095652;47.709114;5
9.2093897;47.708988;4
9.2050896;47.705143;4
9.2053318;47.705116;5
9.2050238;47.705299;6
9.2054644;47.704807;2
9.2057066;47.704777;6
9.2053976;47.70496;5
9.2056398;47.704929;2
9.2047148;47.705482;5
9.204957;47.705452;5
9.204649;47.705635;4
9.2064552;47.704102;5
9.2061472;47.704285;4
9.2063894;47.704254;5
9.2060814;47.704441;6
9.2057724;47.704624;4
9.2060146;47.704594;4
9.2045593;47.706375;3
9.2043409;47.705818;7
9.2044067;47.705666;4
9.2040987;47.705849;3
9.2040749;47.706436;5
9.2043171;47.706406;4
9.2051525;47.706596;5
9.2047348;47.706501;4
9.2049761;47.70647;3
9.2039661;47.706158;3
9.2040319;47.706005;7
9.2037239;47.706188;8
9.2159357;47.739525;3
9.2160025;47.739372;2
9.2158699;47.739677;2
9.2163105;47.739185;2
9.2165527;47.739159;2
9.2162447;47.739342;2
9.2156277;47.739708;1
9.2154951;47.740017;3
9.2151861;47.7402;1
9.2151203;47.740353;1
9.2148113;47.740536;2
9.2150536;47.740509;1
9.2147455;47.740692;4
9.2170601;47.73851;3
9.2171268;47.738358;2
9.2169943;47.738667;2
9.2166853;47.73885;3
9.2167521;47.738697;2
9.2166195;47.739002;3
9.2183838;47.737038;16
9.218317;47.73719;11
9.2185163;47.736729;2
9.2184505;47.736885;31
9.2186918;47.736855;1
9.2181845;47.737499;1
9.2182512;47.737347;16
9.2178764;47.737682;1
9.2177439;47.737991;1
9.2175674;47.737865;1
9.2174349;47.738174;4
9.2175016;47.738022;4
9.2173691;47.738327;2
9.2131367;47.741764;1
9.2129612;47.741638;1
9.2132034;47.741608;3
9.2135115;47.741425;2
9.2134447;47.741581;1
9.2126522;47.741821;1
9.2128944;47.741795;2
9.2125864;47.741978;1
9.2186966;47.744286;276
9.2189388;47.744255;92
9.2187634;47.744133;16
9.2186298;47.744442;344
9.2188721;47.744411;193
9.2184544;47.744316;183
9.2193565;47.74435;655
9.2195988;47.74432;2535
9.2191811;47.744228;12
9.2194233;47.744198;71
9.2192898;47.744503;2922
9.219532;47.744476;1925
9.2191143;47.744381;161
9.2193136;47.743919;149
9.2190046;47.744102;192
9.2192469;47.744072;228
9.2183218;47.744625;1158
9.218564;47.744595;1128
9.2181463;47.744499;1112
9.2183886;47.744469;493
9.218255;47.744778;79
9.2184973;47.744747;8
9.2180796;47.744652;629
9.2189817;47.74469;122
9.219224;47.744659;238
9.2188063;47.744564;1523
9.2190485;47.744534;2202
9.218915;47.744843;129
9.2191572;47.744812;26
9.2187395;47.744717;11
9.2179708;47.744377;6
9.2199306;47.743553;5
9.2198639;47.743706;340
9.219841;47.744293;2591
9.2199497;47.744568;1
9.2197742;47.744446;236
9.2197313;47.744015;62
9.2199736;47.743984;1295
9.2195559;47.743889;303
9.2197981;47.743858;365
9.2196646;47.744167;213
9.2199068;47.744137;2049
9.2194891;47.744041;43
9.2144365;47.740875;5
9.2146788;47.740845;1
9.2145033;47.740723;1
9.2143707;47.741028;10
9.2135782;47.741272;1
9.2140617;47.741211;1
9.2138863;47.741089;1
9.2141285;47.741058;18
9.2138195;47.741241;3
9.2199955;47.73436;4
9.2194881;47.735008;3
9.2195549;47.734852;3
9.2194223;47.735161;3
9.2198629;47.734669;5
9.2199297;47.734516;4
9.2197971;47.734821;20
9.2193556;47.735313;2
9.2192898;47.73547;4
9.2190237;47.736084;5
9.2190905;47.735931;3
9.2189579;47.736237;3
9.219223;47.735622;4
9.2191563;47.735775;2
9.2186489;47.736423;2
9.2188911;47.736393;2
9.2187157;47.736267;1
9.2185831;47.736576;2
9.2134533;47.74741;35
9.2136955;47.747379;8
9.2126837;47.747066;4
9.2129259;47.747036;2
9.2125082;47.746941;565
9.2127504;47.74691;72
9.2124414;47.747097;9
9.2135859;47.747101;7
9.2132769;47.747284;61
9.2135191;47.747253;96
9.2123985;47.746662;5
9.2126408;47.746635;17
9.2123327;47.746819;562
9.212574;47.746788;1422
9.2130585;47.746727;961
9.2133007;47.746696;227
9.212883;47.746605;277
9.2131252;47.746574;1083
9.2129927;47.746883;10
9.2132339;47.746853;4
9.2128162;47.746758;1421
9.2123089;47.747402;12
9.2125511;47.747372;26
9.2121334;47.74728;1
9.2123756;47.74725;1
9.2122421;47.747559;85
9.2124844;47.747528;69
9.2129688;47.747467;76
